model_date,timestamp,cycle,state,created_at,start_date,end_date,election_date,pollster_rating_name,pollster_rating_id,poll_id,question_id,url,partisan,tracking,sample_size,methodology,population,party,candidate_name,pct,raw_sample_size,days_til_election,candidates_tested,poll_sample_size_weight,med_date,number_options,tested_third_party,excludesthirdparty,undecided,n_polls_pollster_per_date,number_polls_in_window,frequency_weight,numeric_grade,pollster_wt,cumulative_poll_wt,methodology_simple,response_num,response_cat,state_num,state_abb,region_computed,region_census_big,region_census_small,region,region_num,response,pollster,pollster_coded,state_pollster,state_pollster_coded,mode,mode_coded,day_of_timeline,major_candidate_still_running
2024-08-23,2024-08-23T12:25:23Z,2024,New Mexico,2024-08-23,2024-08-20,2024-08-22,2024-11-05,Emerson College,88,87882,206739,https://emersoncollegepolling.com/new-mexico-2024-harris-52-trump-42/,NA,NA,965,IVR/Online Panel/Text-to-Web,rv,IND,Robert F. Kennedy,3.4,965,75,Chase Oliver Cornel West Donald Trump Jill Stein Kamala Harris Robert F. Kennedy,0.982344135219425,2024-08-21,6,1,0,5.3999999999999915,1,1,1,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,3,IND,37,NM,Southwest,West,Southwest,Southwest,10,3.4,88,6,NM88,110,IVR/Mostly IVR,3,31,0
2024-08-23,2024-08-23T12:25:23Z,2024,New Mexico,2024-08-23,2024-08-20,2024-08-22,2024-11-05,Emerson College,88,87882,206739,https://emersoncollegepolling.com/new-mexico-2024-harris-52-trump-42/,NA,NA,965,IVR/Online Panel/Text-to-Web,rv,DEM,Kamala Harris,51,965,75,Chase Oliver Cornel West Donald Trump Jill Stein Kamala Harris Robert F. Kennedy,0.982344135219425,2024-08-21,6,1,0,5.3999999999999915,1,1,1,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,1,DEM,37,NM,Southwest,West,Southwest,Southwest,10,51,88,6,NM88,110,IVR/Mostly IVR,3,31,0
2024-08-23,2024-08-23T12:25:23Z,2024,New Mexico,2024-08-23,2024-08-20,2024-08-22,2024-11-05,Emerson College,88,87882,206739,https://emersoncollegepolling.com/new-mexico-2024-harris-52-trump-42/,NA,NA,965,IVR/Online Panel/Text-to-Web,rv,REP,Donald Trump,40.2,965,75,Chase Oliver Cornel West Donald Trump Jill Stein Kamala Harris Robert F. Kennedy,0.982344135219425,2024-08-21,6,1,0,5.3999999999999915,1,1,1,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,2,REP,37,NM,Southwest,West,Southwest,Southwest,10,40.2,88,6,NM88,110,IVR/Mostly IVR,3,31,0
2024-08-23,2024-08-23T12:25:23Z,2024,National,2024-08-23,2024-08-19,2024-08-22,2024-11-05,RMG Research,555,87885,206740,https://napolitaninstitute.org/2024/08/23/trump-harris-tied-at-49/,NA,NA,1500,Online Panel,lv,IND,Robert F. Kennedy,3,2404,75,Donald Trump Kamala Harris Robert F. Kennedy,1.5504837954651445,2024-08-20,3,1,0,3,1,2,0.7071067811865476,2.34,1.0853222688953978,0.7674387361087054,Online Non-Prob Panel,3,IND,57,NA,NA,NA,NA,NA,NA,3,555,47,NA555,78,Online Non-Prob Panel,6,30,0
2024-08-23,2024-08-23T12:25:23Z,2024,National,2024-08-23,2024-08-19,2024-08-22,2024-11-05,RMG Research,555,87885,206740,https://napolitaninstitute.org/2024/08/23/trump-harris-tied-at-49/,NA,NA,1500,Online Panel,lv,DEM,Kamala Harris,48,2404,75,Donald Trump Kamala Harris Robert F. Kennedy,1.5504837954651445,2024-08-20,3,1,0,3,1,2,0.7071067811865476,2.34,1.0853222688953978,0.7674387361087054,Online Non-Prob Panel,1,DEM,57,NA,NA,NA,NA,NA,NA,48,555,47,NA555,78,Online Non-Prob Panel,6,30,0
2024-08-23,2024-08-23T12:25:23Z,2024,National,2024-08-23,2024-08-19,2024-08-22,2024-11-05,RMG Research,555,87885,206740,https://napolitaninstitute.org/2024/08/23/trump-harris-tied-at-49/,NA,NA,1500,Online Panel,lv,REP,Donald Trump,46,2404,75,Donald Trump Kamala Harris Robert F. Kennedy,1.5504837954651445,2024-08-20,3,1,0,3,1,2,0.7071067811865476,2.34,1.0853222688953978,0.7674387361087054,Online Non-Prob Panel,2,REP,57,NA,NA,NA,NA,NA,NA,46,555,47,NA555,78,Online Non-Prob Panel,6,30,0
2024-08-23,2024-08-23T12:25:23Z,2024,National,2024-08-22,2024-08-19,2024-08-21,2024-11-05,The Bullfinch Group,692,87874,206719,https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q3-nationwide-survey-2,NA,NA,1000,Online Panel,rv,IND,Robert F. Kennedy,5,1000,76,Chase Oliver Cornel West Donald Trump Jill Stein Kamala Harris Robert F. Kennedy,1,2024-08-20,6,1,0,9,1,1,1,NA,1,1,Online Non-Prob Panel,3,IND,57,NA,NA,NA,NA,NA,NA,5,692,53,NA692,83,Online Non-Prob Panel,6,30,0
2024-08-23,2024-08-23T12:25:23Z,2024,National,2024-08-22,2024-08-19,2024-08-21,2024-11-05,The Bullfinch Group,692,87874,206719,https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q3-nationwide-survey-2,NA,NA,1000,Online Panel,rv,DEM,Kamala Harris,47,1000,76,Chase Oliver Cornel West Donald Trump Jill Stein Kamala Harris Robert F. Kennedy,1,2024-08-20,6,1,0,9,1,1,1,NA,1,1,Online Non-Prob Panel,1,DEM,57,NA,NA,NA,NA,NA,NA,47,692,53,NA692,83,Online Non-Prob Panel,6,30,0
2024-08-23,2024-08-23T12:25:23Z,2024,National,2024-08-22,2024-08-19,2024-08-21,2024-11-05,The Bullfinch Group,692,87874,206719,https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q3-nationwide-survey-2,NA,NA,1000,Online Panel,rv,REP,Donald Trump,39,1000,76,Chase Oliver Cornel West Donald Trump Jill Stein Kamala Harris Robert F. Kennedy,1,2024-08-20,6,1,0,9,1,1,1,NA,1,1,Online Non-Prob Panel,2,REP,57,NA,NA,NA,NA,NA,NA,39,692,53,NA692,83,Online Non-Prob Panel,6,30,0
2024-08-23,2024-08-23T12:25:23Z,2024,National,2024-08-22,2024-08-18,2024-08-22,2024-11-05,Outward Intelligence,862,87873,206683,https://www.outwardintelligence.com/pulse/presidential-race-remains-stable,NA,NA,1500,Online Panel,lv,IND,Robert F. Kennedy,5.2,1867,75,Chase Oliver Cornel West Donald Trump Jill Stein Kamala Harris Robert F. Kennedy,1.3663820841916803,2024-08-20,6,1,0,0.7999999999999972,1,2,0.7071067811865476,NA,1,0.7071067811865476,Online Non-Prob Panel,3,IND,57,NA,NA,NA,NA,NA,NA,5.2,862,65,NA862,92,Online Non-Prob Panel,6,30,0
