name,region,income,population,lifeExpectancy
Angola,Sub-Saharan Africa,5055.59,12707546,47.58
Benin,Sub-Saharan Africa,1457.57,8294941,61.89
Botswana,Sub-Saharan Africa,12282.28,1638393,55.12
Burkina Faso,Sub-Saharan Africa,1234.42,14761339,53.38
Burundi,Sub-Saharan Africa,457.07,8691005,50.95
Cameroon,Sub-Saharan Africa,1997.18,18054929,51.39
Cape Verde,Sub-Saharan Africa,3456.14,426113,71.68
Chad,Sub-Saharan Africa,1557.83,10541156,48.97
Comoros,Sub-Saharan Africa,1016.42,731281,65.77
"Congo, Dem. Rep.",Sub-Saharan Africa,358.8,66604314,47.81
"Congo, Rep.",Sub-Saharan Africa,3834.67,3903318,53.75
Cote d'Ivoire,Sub-Saharan Africa,1520.23,18373060,57.86
Equatorial Guinea,Sub-Saharan Africa,15342.2,562339,50.64
Eritrea,Sub-Saharan Africa,548.37,5028475,60.03
Ethiopia,Sub-Saharan Africa,812.16,78254090,55.69
Gabon,Sub-Saharan Africa,12704.99,1484149,60.89
Ghana,Sub-Saharan Africa,1382.95,23336661,56.83
Guinea,Sub-Saharan Africa,908.86,10211437,58.35
Guinea-Bissau,Sub-Saharan Africa,568.94,1502442,48.2
Kenya,Sub-Saharan Africa,1493.53,36529155,54.95
Lesotho,Sub-Saharan Africa,1521.4,2002749,45.56
Liberia,Sub-Saharan Africa,474.9,3332483,58.71
Madagascar,Sub-Saharan Africa,1006.9,19757525,60.81
Malawi,Sub-Saharan Africa,866.35,13647273,53.88
Mali,Sub-Saharan Africa,1136.17,12360306,48.84
Mauritania,Sub-Saharan Africa,1775.87,3364940,56.99
Mauritius,Sub-Saharan Africa,11411.53,1260781,72.1
Mayotte,Sub-Saharan Africa,9617.82,216334,75.99
Mozambique,Sub-Saharan Africa,888.65,20203186,48.13
Namibia,Sub-Saharan Africa,4952.26,2063927,61.72
Niger,Sub-Saharan Africa,643.39,13272679,51.95
Nigeria,Sub-Saharan Africa,2158.98,138283240,48.17
Reunion,Sub-Saharan Africa,7670.12,808506,76.64
Rwanda,Sub-Saharan Africa,995.27,9077425,50.69
Sao Tome and Principe,Sub-Saharan Africa,1703.43,205901,65.86
Senegal,Sub-Saharan Africa,1700.05,12548243,55.91
Sierra Leone,Sub-Saharan Africa,893.6,6286617,47.95
Somalia,Sub-Saharan Africa,943.04,9379907,50.09
South Africa,Sub-Saharan Africa,9141.27,43786115,51.72
Sudan,Sub-Saharan Africa,2778.61,43354411,58.5
Swaziland,Sub-Saharan Africa,4728.18,1128814,46.36
Tanzania,Sub-Saharan Africa,1220.25,38858276,56.35
Togo,Sub-Saharan Africa,888.01,5858673,62.93
Uganda,Sub-Saharan Africa,1202.53,30214531,53.47
Zambia,Sub-Saharan Africa,1442.06,11993403,46.4
Zimbabwe,Sub-Saharan Africa,443.74,12382920,45.72
Afghanistan,South Asia,1216.68,32738376,44.3
Bangladesh,South Asia,1492.0,153546901,66.56
Bhutan,South Asia,5053.83,2376680,66.42
India,South Asia,2731.0,1125368288,64.01
Maldives,South Asia,5081.79,379174,71.94
Nepal,South Asia,1224.73,29519114,67.12
Pakistan,South Asia,2603.0,172730891,66.84
Sri Lanka,South Asia,4254.13,20532150,74.24
Algeria,Middle East & North Africa,6207.17,33739635,72.67
Bahrain,Middle East & North Africa,24226.51,718306,75.88
Djibouti,Middle East & North Africa,2176.79,506221,55.78
Iraq,Middle East & North Africa,3518.18,28221181,68.1
Israel,Middle East & North Africa,25463.69,6500389,81.0
Jordan,Middle East & North Africa,5109.39,6198677,72.88
Kuwait,Middle East & North Africa,42443.53,2596799,77.79
Lebanon,Middle East & North Africa,12766.21,3967467,72.26
Libya,Middle East & North Africa,12051.62,6173579,74.28
Morocco,Middle East & North Africa,4162.93,34272968,71.58
Oman,Middle East & North Africa,22804.85,3309440,75.94
Qatar,Middle East & North Africa,74138.28,928635,75.81
Saudi Arabia,Middle East & North Africa,21138.18,28161417,73.1
Tunisia,Middle East & North Africa,7499.61,10378140,74.15
United Arab Emirates,Middle East & North Africa,33734.94,2682747,77.58
West Bank and Gaza,Middle East & North Africa,3084.56,4149173,73.74
"Yemen, Rep.",Middle East & North Africa,2313.16,22993911,63.39
Argentina,America,13498.04,40677348,75.52
Aruba,America,25351.09,72480,74.92
Barbados,America,15846.77,281968,77.51
Belize,America,6998.08,301022,76.6
Bolivia,America,4007.16,9247816,66.01
Brazil,America,9569.78,191908598,72.68
Canada,America,34569.63,33679263,80.89
