Date,Co2
1958.2027,314.44
1958.2877,315.16
1958.3699,314.69
1958.4548,315.15
1958.5370,315.20
1958.6219,316.21
1958.7068,316.11
1958.7890,315.41
1958.8740,315.21
1958.9562,315.43
1959.0411,315.52
1959.1260,315.84
1959.2027,315.37
1959.2877,315.42
1959.3699,315.46
1959.4548,316.00
1959.5370,315.87
1959.6219,316.09
1959.7068,316.75
1959.7890,316.34
1959.8740,316.69
1959.9562,316.35
1960.0410,316.38
1960.1257,316.33
1960.2049,316.27
1960.2896,316.70
1960.3716,317.19
1960.4563,317.45
1960.5383,317.54
1960.6230,317.22
1960.7077,317.10
1960.7896,316.85
1960.8743,316.89
1960.9563,316.96
1961.0411,316.84
1961.1260,317.05
1961.2027,317.25
1961.2877,317.16
1961.3699,317.73
1961.4548,317.61
1961.5370,317.89
1961.6219,318.09
1961.7068,317.92
1961.7890,318.34
1961.8740,318.00
1961.9562,317.78
1962.0411,317.89
1962.1260,317.89
1962.2027,318.39
1962.2877,318.24
1962.3699,318.16
1962.4548,318.45
1962.5370,318.94
1962.6219,318.71
1962.7068,319.18
1962.7890,318.46
1962.8740,318.59
1962.9562,318.47
1963.0411,318.69
1963.1260,318.41
1963.2027,318.57
1963.2877,319.05
1963.3699,319.38
1963.4548,319.31
1963.5370,319.07
1963.6219,319.07
1963.7068,319.16
1963.7890,319.03
1963.8740,318.98
1963.9562,319.13
1964.0410,319.52
1964.1257,319.37
1964.2049,319.41
1964.2896,319.46
1964.3716,319.37
1964.4563,319.73
1964.5383,319.79
1964.6230,320.03
1964.7077,319.67
1964.7896,319.93
1964.8743,319.59
1964.9563,319.49
1965.0411,319.38
1965.1260,319.79
1965.2027,319.59
1965.2877,319.79
1965.3699,319.28
1965.4548,319.68
1965.5370,320.53
1965.6219,320.18
1965.7068,320.78
1965.7890,320.37
1965.8740,320.79
1965.9562,320.20
1966.0411,320.57
1966.1260,320.94
1966.2027,321.08
1966.2877,321.34
1966.3699,321.18
1966.4548,321.55
1966.5370,321.69
1966.6219,321.68
1966.7068,321.61
1966.7890,321.18
1966.8740,321.71
1966.9562,321.81
1967.0411,322.28
1967.1260,321.83
1967.2027,321.72
1967.2877,322.05
1967.3699,322.09
1967.4548,321.89
1967.5370,321.86
1967.6219,322.24
1967.7068,322.24
1967.7890,322.48
1967.8740,322.66
1967.9562,322.74
1968.0410,322.51
1968.1257,322.48
1968.2049,322.55
1968.2896,322.63
1968.3716,322.66
1968.4563,323.17
1968.5383,323.48
1968.6230,323.46
1968.7077,323.33
1968.7896,323.34
1968.8743,323.26
1968.9563,323.68
1969.0411,323.95
1969.1260,323.75
1969.2027,324.31
1969.2877,324.28
1969.3699,324.46
1969.4548,324.49
1969.5370,325.19
1969.6219,324.99
1969.7068,325.38
1969.7890,324.89
1969.8740,324.80
1969.9562,324.91
1970.0411,325.01
1970.1260,325.31
1970.2027,325.61
1970.2877,325.75
1970.3699,325.15
1970.4548,325.44
1970.5370,325.65
1970.6219,326.02
1970.7068,326.11
1970.7890,326.18
1970.8740,325.96
1970.9562,325.93
1971.0411,326.12
1971.1260,326.01
1971.2027,325.85
1971.2877,325.39
1971.3699,325.99
1971.4548,326.34
1971.5370,326.67
1971.6219,326.77
1971.7068,326.38
1971.7890,326.69
1971.8740,326.75
1971.9562,326.81
1972.0410,326.71
1972.1257,326.96
1972.2049,326.39
1972.2896,327.30
1972.3716,327.12
1972.4563,326.87
1972.5383,327.38
1972.6230,327.69
1972.7077,327.88
1972.7896,328.33
1972.8743,328.46
1972.9563,328.35
1973.0411,328.49
1973.1260,328.89
1973.2027,328.97
1973.2877,329.10
1973.3699,329.52
1973.4548,329.83
1973.5370,330.18
1973.6219,330.66
1973.7068,330.56
1973.7890,330.33
1973.8740,330.13
1973.9562,329.45
1974.0411,329.30
1974.1260,330.03
1974.2027,330.15
1974.2877,330.24
1974.3750,330.22
1974.4583,329.79
1974.5417,330.21
1974.6250,330.54
1974.7083,330.44
1974.7917,330.53
1974.8750,330.50
1974.9583,330.55
1975.0417,330.84
1975.1250,330.85
1975.2083,330.37
1975.2917,330.53
1975.3750,330.98
1975.4583,331.01
1975.5417,331.12
1975.6250,331.33
1975.7083,331.60
1975.7917,331.61
1975.8750,331.57
1975.9583,331.73
1976.0417,331.67
1976.1250,332.14
1976.2083,331.79
1976.2917,332.16
1976.3750,331.75
1976.4583,331.56
1976.5417,332.23
1976.6250,332.07
1976.7083,332.07
1976.7917,331.98
1976.8750,332.35
1976.9583,332.59
1977.0417,332.77
1977.1250,332.58
1977.2083,333.40
1977.2917,333.54
1977.3750,334.00
1977.4583,333.79
1977.5417,334.01
1977.6250,333.91
1977.7083,334.36
1977.7917,334.51
1977.8750,334.68
1977.9583,334.58
1978.0417,335.01
1978.1250,334.60
1978.2083,335.00
1978.2917,335.07
1978.3750,335.08
1978.4583,335.60
1978.5417,335.65
1978.6250,335.87
1978.7083,335.51
1978.7917,335.72
1978.8750,335.99
1978.9583,335.87
1979.0417,336.22
1979.1250,336.00
1979.2083,336.56
1979.2917,336.11
1979.3750,336.24
1979.4583,336.83
1979.5417,336.69
1979.6250,337.20
1979.7083,337.19
1979.7917,337.57
1979.8750,337.59
1979.9583,337.83
1980.0417,338.13
1980.1250,337.85
1980.2083,338.51
1980.2917,338.31
1980.3750,338.40
1980.4583,338.85
1980.5417,338.56
1980.6250,339.07
1980.7083,339.38
1980.7917,339.40
1980.8750,339.46
1980.9583,339.26
1981.0417,339.42
1981.1250,339.98
1981.2083,340.08
1981.2917,339.98
1981.3750,339.97
1981.4583,340.06
1981.5417,339.92
1981.6250,339.87
1981.7083,340.17
1981.7917,340.39
1981.8750,340.75
1981.9583,340.85
1982.0417,341.09
1982.1250,341.16
1982.2083,341.18
1982.2917,341.32
1982.3750,341.67
1982.4583,341.43
1982.5417,341.61
1982.6250,341.64
1982.7083,341.56
1982.7917,341.77
1982.8750,341.59
1982.9583,341.71
1983.0417,341.75
1983.1250,342.25
1983.2083,341.85
1983.2917,342.76
1983.3750,342.97
1983.4583,343.30
1983.5417,343.56
1983.6250,343.89
1983.7083,343.59
1983.7917,343.86
1983.8750,343.92
1983.9583,344.12
1984.0417,344.32
