Imports,Exports,Balance
20527.00,23866.00,3340.00
21294.00,23039.00,1745.00
22839.00,22978.00,139.00
23912.00,24096.00,184.00
25669.00,24142.00,-1527.00
26413.00,25176.00,-1237.00
26982.00,26006.00,-976.00
28197.00,25726.00,-2471.00
28342.00,25503.00,-2840.00
26706.00,25454.00,-1252.00
25814.00,24366.00,-1448.00
24243.00,22058.00,-2185.00
24785.00,22570.00,-2215.00
26211.00,22205.00,-4005.00
27645.00,22157.00,-5488.00
29260.00,22172.00,-7088.00
28277.00,21629.00,-6648.00
30037.00,21064.00,-8973.00
30719.00,22344.00,-8375.00
32052.00,22778.00,-9274.00
34262.00,24857.00,-9405.00
36479.00,25546.00,-10934.00
37782.00,25270.00,-12511.00
41286.00,27838.00,-13448.00
42090.00,27941.00,-14149.00
42761.00,29499.00,-13262.00
43539.00,29683.00,-13856.00
45875.00,30851.00,-15024.00
47816.00,33670.00,-14146.00
48067.00,34904.00,-13163.00
49328.00,36110.00,-13218.00
47571.00,38778.00,-8794.00
46720.00,40233.00,-6487.00
48351.00,42279.00,-6072.00
49644.00,45669.00,-3975.00
54521.00,48013.00,-6508.00
56639.00,52201.00,-4438.00
60925.00,54998.00,-5927.00
63180.00,58198.00,-4982.00
53972.00,51029.00,-2943.00
45946.00,45183.00,-763.00
45889.00,43930.00,-1959.00
48786.00,46411.00,-2375.00
51308.00,50260.00,-1048.00
53476.00,54020.00,544.00
54374.00,57114.00,2740.00
54832.00,57821.00,2989.00
56812.00,60180.00,3368.00
62638.00,65198.00,2560.00
66982.00,68356.00,1374.00
65747.00,70762.00,5015.00
67098.00,69683.00,2585.00
68056.00,72156.00,4101.00
64454.00,73614.00,9160.00
63045.00,74058.00,11013.00
63405.00,77407.00,14002.00
61424.00,78249.00,16825.00
60124.00,75486.00,15362.00
61152.00,79089.00,17937.00
58137.00,78174.00,20037.00
60242.00,80692.00,20450.00
59629.00,81265.00,21635.00
58232.00,78531.00,20299.00
56831.00,77500.00,20669.00
52926.00,75270.00,22344.00
50758.00,73518.00,22760.00
49242.00,69121.00,19879.00
47689.00,65681.00,17992.00
45379.00,63336.00,17956.00
46900.00,64264.00,17364.00
49059.00,64693.00,15635.00
49478.00,64498.00,15020.00
50594.00,69357.00,18763.00
50284.00,68954.00,18670.00
49523.00,70271.00,20748.00
49325.00,72570.00,23245.00
53042.00,72962.00,19920.00
51713.00,73509.00,21795.00
52546.00,74083.00,21537.00
52732.00,74452.00,21720.00
52848.00,74621.00,21773.00
51763.00,74450.00,22688.00
49600.00,72320.00,22720.00
49422.00,73726.00,24304.00
47326.00,71867.00,24541.00
33334.00,50090.00,16756.00
39177.00,54963.00,15786.00
43273.00,63326.00,20054.00
44719.00,68833.00,24113.00
51483.00,73295.00,21812.00
56548.00,79235.00,22688.00
60489.00,82945.00,22456.00
61603.00,86640.00,25037.00
66244.00,97390.00,31145.00
67235.00,94446.00,27210.00
65650.00,86838.00,21189.00
65373.00,87644.00,22271.00
64478.00,83732.00,19254.00
65209.00,86715.00,21507.00
66836.00,86706.00,19870.00
70988.00,90818.00,19829.00
71310.00,88686.00,17376.00
