Q1,Q2,Q3,Q4,Q5,Q6
0.20,0.50,0.30,0.15,0.40,0.33
0.20,0.45,0.30,0.25,0.40,0.40
0.20,0.50,0.50,0.25,0.40,0.33
0.20,0.40,0.50,0.33,0.33,0.50
0.20,0.45,0.25,0.20,0.45,0.40
0.24,0.45,0.40,0.26,0.38,0.40
0.20,0.50,0.50,0.20,0.40,0.40
0.20,0.50,0.40,0.30,0.40,0.30
0.20,0.33,0.25,0.25,0.45,0.25
0.20,0.40,0.50,0.33,0.30,0.33
0.20,0.45,0.35,0.33,0.60,0.40
0.12,0.40,0.35,0.20,0.33,0.50
0.16,0.33,0.33,0.20,0.40,0.33
0.20,0.50,0.40,0.50,0.33,0.40
0.25,0.50,0.50,0.20,0.40,0.50
0.20,0.44,0.33,0.40,0.44,0.33
0.25,0.30,0.40,0.30,0.33,0.35
0.20,0.50,0.40,0.40,0.40,0.33
0.25,0.40,0.75,0.33,0.43,0.40
0.20,0.45,0.45,0.30,0.45,0.45
0.20,0.50,0.40,0.30,0.30,0.35
0.20,0.60,0.25,0.33,0.30,0.33
0.22,0.50,0.38,0.25,0.40,0.40
