station_complex,ridership
"Beverly Rd (2,5)",75496
8 Av (N),208914
"67 Av (M,R)",135140
Beach 60 St (A),27473
"Hewes St (M,J)",59184
Nassau Av (G),35006
Dyckman St (A),120255
176 St (4),82246
"Tremont Av (B,D)",98985
"Broadway (N,W)",221479
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",1102349
"W 8 St-NY Aquarium (F,Q)",78136
"Brighton Beach (B,Q)",228985
"Woodhaven Blvd (M,R)",338726
"Queensboro Plaza (7,N,W)",234871
"149 St-Grand Concourse (2,4,5)",164436
"Clark St (2,3)",165522
"Fordham Rd (B,D)",133335
145 St (1),137222
"Carroll St (F,G)",187862
Parkside Av (Q),108389
RI Tramway (Roosevelt),131660
E 143 St-St Mary's St (6),17254
"3 Av-149 St (2,5)",303904
"W 4 St-Wash Sq (A,C,E,B,D,F,M)",848651
"174 St (2,5)",68682
Avenue I (F),21516
Fort Hamilton Pkwy (N),118722
Avenue N (F),42183
Livonia Av (L),44172
"Allerton Av (2,5)",59134
"57 St-7 Av (N,Q,R,W)",652699
Fort Hamilton Pkwy (D),65737
Cleveland St (J),32738
"Bergen St (2,3)",87517
"Sheepshead Bay (B,Q)",234176
Bay Pkwy (F),17670
80 St (A),70766
"Hoyt-Schermerhorn Sts (A,C,G)",200893
"Burke Av (2,5)",36241
Union St (R),139737
"Van Siclen Av (J,Z)",41425
"Lexington Av/63 St (F,Q)",315786
Kingsbridge Rd (4),123830
"161 St-Yankee Stadium (B,D,4)",558335
116 St (6),209164
Hunters Point Av (7),94097
"Utica Av (A,C)",222431
"Kew Gardens-Union Tpke (E,F)",408625
Montrose Av (L),135976
50 St (D),59058
Marble Hill-225 St (1),68674
183 St (4),78845
"116 St (C,B)",116827
20 Av (D),90990
"Nostrand Av (A,C)",316962
Seneca Av (M),53071
"Fort Hamilton Pkwy (F,G)",97052
"36 St (D,N,R)",287071
"Bronx Park East (2,5)",33650
25 Av (D),69075
2 Av (F),338708
