Rk,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,22-113,IND,@,CON,L (-21),1,32:27,5,15,.333,4,11,.364,6,6,1.000,0,0,0,3,2,0,10,4,20,4.0
2,2024-05-16,22-115,IND,,NYL,L (-36),1,30:08,2,8,.250,1,7,.143,4,4,1.000,0,7,7,6,0,1,3,5,9,6.2
3,2024-05-18,22-117,IND,@,NYL,L (-11),1,34:27,9,17,.529,4,10,.400,0,0,,2,4,6,8,1,0,8,3,22,13.7
4,2024-05-20,22-119,IND,,CON,L (-4),1,27:24,5,11,.455,3,7,.429,4,4,1.000,0,3,3,5,0,2,5,5,17,10.1
5,2024-05-22,22-121,IND,@,SEA,L (-2),1,32:56,6,16,.375,2,8,.250,7,9,.778,1,6,7,7,0,2,3,0,21,17.2
6,2024-05-24,22-123,IND,@,LAS,W (+5),1,36:51,4,14,.286,2,9,.222,1,2,.500,1,9,10,8,4,1,2,2,11,13.3
7,2024-05-25,22-124,IND,@,LVA,L (-19),1,28:31,2,8,.250,2,5,.400,2,2,1.000,0,5,5,7,1,0,6,2,8,3.8
8,2024-05-28,22-127,IND,,LAS,L (-6),1,34:05,7,16,.438,3,10,.300,13,15,.867,0,5,5,6,3,3,7,5,30,22.6
9,2024-05-30,22-129,IND,,SEA,L (-15),1,39:56,6,17,.353,3,8,.375,5,5,1.000,1,2,3,9,0,1,7,2,20,11.0
10,2024-06-01,22-131,IND,,CHI,W (+1),1,37:15,4,11,.364,2,9,.222,1,1,1.000,1,7,8,6,1,0,5,2,11,7.1
11,2024-06-02,22-132,IND,@,NYL,L (-36),1,28:50,1,10,.100,1,7,.143,0,0,,0,2,2,5,2,1,3,2,3,-0.6
12,2024-06-07,22-137,IND,@,WAS,W (+2),1,38:46,8,15,.533,7,13,.538,7,8,.875,1,7,8,6,4,0,8,3,30,24.1
13,2024-06-10,22-140,IND,@,CON,L (-17),1,21:58,3,8,.375,2,5,.400,2,2,1.000,0,0,0,2,1,0,3,4,10,3.4
14,2024-06-13,22-143,IND,,ATL,W (+7),1,34:37,3,11,.273,1,6,.167,0,0,,1,3,4,6,0,2,7,1,7,0.3
15,2024-06-16,22-146,IND,,CHI,W (+8),1,36:52,7,11,.636,3,7,.429,6,6,1.000,0,8,8,9,0,2,5,3,23,22.0
16,2024-06-19,22-149,IND,,WAS,W (+7),1,36:37,6,12,.500,2,6,.333,4,4,1.000,1,11,12,6,4,0,6,2,18,17.4
17,2024-06-21,22-151,IND,@,ATL,W (+12),1,34:57,6,12,.500,4,8,.500,0,1,.000,0,4,4,7,0,1,7,4,16,7.8
18,2024-06-23,22-153,IND,@,CHI,L (-1),1,39:59,5,11,.455,5,9,.556,2,3,.667,0,6,6,13,4,0,5,4,17,19.2
19,2024-06-27,22-157,IND,@,SEA,L (-12),1,38:29,4,9,.444,3,7,.429,4,5,.800,0,6,6,7,0,1,6,1,15,10.9
20,2024-06-30,22-160,IND,@,PHO,W (+6),1,39:27,4,14,.286,2,10,.200,5,6,.833,0,9,9,12,0,0,6,3,15,10.3
