Rk,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,29-260,PHO,@,LVA,L (-9),1,29:56,7,19,.368,3,7,.429,2,2,1.000,1,3,4,4,0,0,2,5,19,8.9
2,2024-05-18,29-264,PHO,,ATL,W (+3),1,32:35,11,20,.550,3,5,.600,13,16,.813,1,5,6,1,0,0,2,4,38,26.5
3,2024-05-21,29-267,PHO,@,LVA,W (+10),1,30:09,15,23,.652,5,9,.556,2,2,1.000,0,4,4,3,3,1,3,3,37,29.7
4,2024-05-23,29-269,PHO,,WAS,W (+3),1,28:13,7,17,.412,3,9,.333,3,3,1.000,1,4,5,2,1,0,1,4,20,12.6
5,2024-05-25,29-271,PHO,,DAL,L (-15),1,35:37,11,22,.500,4,7,.571,6,7,.857,0,1,1,2,1,0,4,3,32,18.1
6,2024-05-28,29-274,PHO,@,CON,L (-23),1,28:42,2,11,.182,0,5,.000,3,4,.750,3,2,5,4,0,0,4,1,7,0.8
7,2024-05-29,29-275,PHO,@,NYL,L (-3),1,31:49,7,19,.368,0,5,.000,6,7,.857,3,6,9,2,2,0,4,4,20,10.8
8,2024-05-31,29-277,PHO,@,MIN,L (-24),1,30:43,7,18,.389,3,6,.500,4,5,.800,0,1,1,1,1,0,2,2,21,10.0
9,2024-06-02,29-279,PHO,,LAS,W (+19),1,29:11,4,13,.308,2,6,.333,2,2,1.000,0,3,3,0,1,0,4,4,12,0.8
10,2024-06-04,29-281,PHO,@,SEA,L (-18),1,30:59,6,18,.333,3,7,.429,4,8,.500,0,7,7,1,1,0,4,1,19,6.6
11,2024-06-07,29-284,PHO,,MIN,W (+1),1,31:35,13,23,.565,5,12,.417,3,5,.600,1,5,6,2,2,2,4,2,34,24.5
12,2024-06-09,29-286,PHO,@,DAL,W (+7),1,44:27,9,22,.409,4,11,.364,7,8,.875,0,3,3,1,0,0,6,4,29,10.8
13,2024-06-13,29-290,PHO,,LVA,L (-4),1,30:17,6,16,.375,1,6,.167,5,5,1.000,0,4,4,5,2,0,2,6,18,11.5
14,2024-06-16,29-293,PHO,,SEA,W (+9),1,32:32,11,20,.550,3,7,.429,5,5,1.000,0,6,6,2,1,0,3,2,30,20.8
15,2024-06-18,29-295,PHO,,NYL,W (+6),1,31:09,7,13,.538,1,4,.250,2,3,.667,0,2,2,7,2,0,4,3,17,12.6
16,2024-06-22,29-299,PHO,@,MIN,L (-13),1,31:56,3,17,.176,1,7,.143,2,4,.500,1,4,5,1,2,0,4,4,9,-3.5
17,2024-06-28,29-305,PHO,,LAS,W (+14),1,30:39,9,18,.500,0,3,.000,6,8,.750,1,4,5,0,1,0,3,3,24,12.9
18,2024-06-30,29-307,PHO,,IND,L (-6),1,30:48,3,15,.200,1,6,.167,0,0,,0,3,3,2,1,0,3,6,7,-4.4
19,2024-07-01,29-308,PHO,,CON,L (-11),1,36:49,7,16,.438,1,3,.333,6,7,.857,0,6,6,2,1,0,1,2,21,14.6
20,2024-07-03,29-310,PHO,@,DAL,W (+8),1,32:15,14,20,.700,3,4,.750,3,3,1.000,1,0,1,1,0,0,1,5,34,24.0
21,2024-07-07,29-314,PHO,@,LAS,W (+6),1,34:34,7,17,.412,0,5,.000,11,13,.846,1,9,10,5,0,0,4,3,25,16.8
22,2024-07-10,29-317,PHO,,DAL,W (+16),1,33:59,12,19,.632,1,4,.250,7,9,.778,1,4,5,4,0,0,3,4,32,22.8
23,2024-07-12,29-319,PHO,@,IND,L (-9),1,34:47,11,25,.440,3,11,.273,11,13,.846,0,1,1,1,0,0,2,5,36,19.1
24,2024-07-14,29-321,PHO,@,CON,L (-27),1,34:30,8,17,.471,1,4,.250,0,0,,1,5,6,2,0,0,7,3,17,3.7
25,2024-07-16,29-323,PHO,@,WAS,W (+9),1,32:38,9,16,.563,1,4,.250,3,3,1.000,0,7,7,1,0,0,1,3,22,15.0
26,2024-08-15,29-353,PHO,@,CHI,W (+20),1,35:03,12,19,.632,3,5,.600,2,4,.500,0,2,2,3,0,0,1,3,29,20.2
27,2024-08-16,29-354,PHO,@,IND,L (-9),1,38:20,6,17,.353,2,7,.286,18,19,.947,1,7,8,6,1,0,3,5,32,25.1
28,2024-08-18,29-356,PHO,,CHI,W (+18),1,30:43,2,11,.182,0,4,.000,3,4,.750,1,2,3,2,1,0,2,5,7,-0.6
29,2024-08-21,29-359,PHO,@,ATL,L (-9),1,33:46,8,17,.471,2,5,.400,4,5,.800,0,6,6,2,0,0,2,3,22,12.9
30,2024-08-23,29-361,PHO,@,ATL,W (+2),1,36:05,6,20,.300,2,5,.400,2,2,1.000,0,5,5,1,0,0,2,3,16,3.4
31,2024-08-26,29-364,PHO,,NYL,L (-14),1,33:31,7,17,.412,0,6,.000,0,0,,2,3,5,0,2,0,3,4,14,4.6
32,2024-08-28,30-000,PHO,,MIN,L (-13),1,32:59,3,10,.300,1,4,.250,6,7,.857,2,2,4,0,0,0,5,3,13,2.6
33,2024-09-01,30-004,PHO,,LVA,L (-18),1,30:57,5,10,.500,1,4,.250,4,6,.667,1,5,6,1,1,0,3,2,15,9.3
34,2024-09-03,30-006,PHO,,ATL,W (+8),1,31:58,8,16,.500,3,7,.429,9,12,.750,0,3,3,4,0,0,4,0,28,18.5
