Rk,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,29-261,NYL,@,WAS,W (+5),1,31:32,3,9,.333,0,1,.000,2,2,1.000,1,7,8,2,1,0,3,4,8,3.5
2,2024-05-16,29-263,NYL,@,IND,W (+36),1,29:20,12,21,.571,1,3,.333,6,6,1.000,5,5,10,4,3,2,0,3,31,32.1
3,2024-05-18,29-265,NYL,,IND,W (+11),1,29:51,7,14,.500,2,3,.667,8,8,1.000,0,5,5,2,4,3,4,1,24,21.6
4,2024-05-20,29-267,NYL,,SEA,W (+11),1,32:57,7,18,.389,0,6,.000,2,3,.667,2,9,11,1,3,2,2,1,16,12.6
5,2024-05-23,29-270,NYL,,CHI,L (-9),1,35:16,5,12,.417,2,6,.333,6,9,.667,1,9,10,5,4,1,3,1,18,18.6
6,2024-05-25,29-272,NYL,@,MIN,L (-17),1,33:22,8,18,.444,1,8,.125,3,3,1.000,3,8,11,5,1,2,2,2,20,18.2
7,2024-05-29,29-276,NYL,,PHO,W (+3),1,36:32,4,10,.400,0,2,.000,5,5,1.000,3,5,8,2,2,0,2,2,13,11.8
8,2024-05-31,29-278,NYL,,WAS,W (+11),1,36:18,4,13,.308,0,4,.000,10,12,.833,2,13,15,5,2,0,3,4,18,15.9
9,2024-06-02,29-280,NYL,,IND,W (+36),1,24:05,5,11,.455,1,4,.250,2,2,1.000,0,6,6,5,0,0,0,4,13,11.0
10,2024-06-04,29-282,NYL,@,CHI,W (+13),1,38:29,14,25,.560,2,7,.286,3,3,1.000,4,10,14,3,1,1,2,2,33,27.9
11,2024-06-06,29-284,NYL,@,ATL,W (+17),1,35:09,8,17,.471,0,3,.000,9,9,1.000,2,8,10,5,0,1,1,1,25,22.9
12,2024-06-08,29-286,NYL,@,CON,W (+7),1,38:23,5,11,.455,1,3,.333,2,2,1.000,0,7,7,5,1,1,2,3,13,11.4
13,2024-06-09,29-287,NYL,,WAS,W (+5),1,36:16,4,14,.286,0,5,.000,6,6,1.000,1,6,7,3,3,0,3,5,14,8.4
14,2024-06-15,29-293,NYL,@,LVA,W (+8),1,37:50,7,15,.467,0,2,.000,0,0,,0,12,12,2,2,1,2,2,14,11.2
15,2024-06-18,29-296,NYL,@,PHO,L (-6),1,35:57,10,15,.667,4,4,1.000,4,6,.667,2,2,4,5,5,1,1,1,28,30.5
16,2024-06-20,29-298,NYL,,LAS,W (+13),1,35:01,6,13,.462,1,3,.333,4,6,.667,1,4,5,5,1,3,3,1,17,14.6
17,2024-06-22,29-300,NYL,,LAS,W (+10),1,36:46,12,19,.632,3,9,.333,6,7,.857,0,3,3,7,3,6,4,2,33,32.3
18,2024-06-23,29-301,NYL,@,ATL,W (+21),1,29:17,6,9,.667,1,2,.500,4,4,1.000,1,7,8,6,3,2,2,3,17,21.3
19,2024-06-30,29-308,NYL,,ATL,W (+6),1,37:23,7,17,.412,3,7,.429,5,7,.714,1,11,12,3,2,1,1,4,22,18.3
20,2024-07-02,29-310,NYL,,MIN,W (+9),1,37:52,5,20,.250,0,5,.000,7,8,.875,3,14,17,3,2,2,2,2,17,13.6
21,2024-07-06,29-314,NYL,@,IND,L (-5),1,35:47,3,11,.273,0,5,.000,8,10,.800,1,5,6,6,2,1,1,4,14,13.2
22,2024-07-10,29-318,NYL,@,CON,W (+3),1,34:21,5,9,.556,0,1,.000,8,10,.800,1,13,14,2,1,3,3,3,18,17.8
23,2024-07-11,29-319,NYL,,CHI,W (+15),1,32:21,5,14,.357,0,3,.000,9,9,1.000,0,4,4,6,1,2,0,0,19,19.0
24,2024-08-15,29-354,NYL,@,LAS,W (+35),1,20:18,10,15,.667,3,4,.750,4,5,.800,1,3,4,2,0,0,0,1,27,22.7
25,2024-08-17,29-356,NYL,@,LVA,W (+12),1,33:03,7,16,.438,1,3,.333,3,3,1.000,1,6,7,1,2,2,1,1,18,14.8
26,2024-08-20,29-359,NYL,,DAL,W (+20),1,32:21,7,22,.318,3,7,.429,9,11,.818,3,9,12,3,0,0,2,1,26,17.1
27,2024-08-22,29-361,NYL,,DAL,W (+8),1,34:49,5,18,.278,0,3,.000,9,11,.818,3,4,7,6,3,0,2,2,19,15.3
28,2024-08-24,29-363,NYL,,CON,L (-8),1,31:39,7,15,.467,1,4,.250,0,0,,1,14,15,4,2,3,2,2,15,16.3
29,2024-08-26,29-365,NYL,@,PHO,W (+14),1,34:17,8,17,.471,1,3,.333,4,4,1.000,2,4,6,6,1,1,1,0,21,19.8
30,2024-08-28,30-001,NYL,@,LAS,L (-6),1,33:55,11,19,.579,3,6,.500,7,11,.636,2,4,6,1,2,0,3,5,32,21.8
31,2024-08-30,30-003,NYL,@,SEA,W (+13),1,35:29,10,16,.625,3,4,.750,9,10,.900,1,4,5,6,0,0,0,1,32,30.1
32,2024-09-05,30-009,NYL,,SEA,W (+7),1,34:22,5,16,.313,1,2,.500,3,5,.600,1,6,7,3,1,3,0,1,14,11.3
33,2024-09-08,30-012,NYL,,LVA,W (+4),1,33:45,8,14,.571,0,1,.000,5,7,.714,2,9,11,2,2,1,1,1,21,20.4
34,2024-09-10,30-014,NYL,@,DAL,W (+14),1,27:53,9,18,.500,3,6,.500,6,6,1.000,1,1,2,2,0,1,2,4,27,17.5
35,2024-09-12,30-016,NYL,@,DAL,W (+32),1,22:55,3,6,.500,0,3,.000,5,8,.625,1,3,4,4,0,1,2,0,11,9.9
36,2024-09-15,30-019,NYL,,MIN,L (-9),1,36:20,12,27,.444,3,6,.500,11,13,.846,6,12,18,1,2,0,1,4,38,31.0
37,2024-09-17,30-021,NYL,@,WAS,W (+16),1,25:38,6,14,.429,1,6,.167,2,2,1.000,2,8,10,1,1,1,1,2,15,12.0
38,2024-09-19,30-023,NYL,,ATL,L (-11),1,16:27,5,10,.500,1,2,.500,5,5,1.000,0,2,2,0,1,0,1,0,16,11.6
