Rk,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-14,27-280,LVA,,PHO,W (+9),1,34:40,10,22,.455,0,2,.000,10,11,.909,3,10,13,5,1,3,1,2,30,28.1
2,2024-05-18,27-284,LVA,,LAS,W (+7),1,31:52,9,20,.450,1,2,.500,3,4,.750,4,6,10,1,3,2,2,3,22,17.7
3,2024-05-21,27-287,LVA,,PHO,L (-10),1,32:22,8,18,.444,0,0,,5,8,.625,2,11,13,2,0,3,1,2,21,16.8
4,2024-05-25,27-291,LVA,,IND,W (+19),1,30:44,12,18,.667,1,2,.500,4,4,1.000,2,13,15,2,1,1,0,1,29,29.2
5,2024-05-29,27-295,LVA,@,MIN,W (+14),1,31:59,11,23,.478,0,1,.000,7,10,.700,3,12,15,3,2,4,2,2,29,25.9
6,2024-05-31,27-297,LVA,@,ATL,L (-4),1,35:12,12,27,.444,0,1,.000,4,4,1.000,0,9,9,3,1,4,1,2,28,20.7
7,2024-06-05,27-302,LVA,@,DAL,W (+14),1,33:34,15,22,.682,1,1,1.000,5,6,.833,5,7,12,2,6,1,3,1,36,36.5
8,2024-06-07,27-304,LVA,,SEA,L (-13),1,36:00,8,20,.400,0,1,.000,13,14,.929,1,10,11,0,1,3,3,2,29,20.8
9,2024-06-09,27-306,LVA,@,LAS,L (-4),1,37:13,10,17,.588,2,2,1.000,9,11,.818,1,7,8,5,2,6,1,2,31,33.0
10,2024-06-11,27-308,LVA,,MIN,L (-14),1,32:58,9,18,.500,1,2,.500,9,10,.900,2,6,8,3,2,0,1,3,28,23.7
11,2024-06-13,27-310,LVA,@,PHO,W (+4),1,34:19,10,17,.588,1,1,1.000,11,11,1.000,6,9,15,2,1,2,3,3,32,30.6
12,2024-06-15,27-312,LVA,,NYL,L (-8),1,35:46,9,16,.563,0,1,.000,3,4,.750,0,9,9,3,0,1,2,4,21,14.9
13,2024-06-19,27-316,LVA,,SEA,W (+11),1,32:27,11,18,.611,0,0,,5,7,.714,2,7,9,3,4,2,0,2,27,28.2
14,2024-06-21,27-318,LVA,,CON,W (+11),1,34:15,9,17,.529,0,2,.000,8,8,1.000,4,12,16,1,2,2,3,1,26,24.8
15,2024-06-27,27-324,LVA,@,CHI,W (+12),1,33:44,10,19,.526,1,2,.500,10,12,.833,2,4,6,3,2,2,3,2,31,25.2
16,2024-06-29,27-326,LVA,@,WAS,W (+11),1,32:24,4,15,.267,0,1,.000,3,4,.750,0,9,9,5,2,1,1,3,11,8.4
17,2024-07-02,27-329,LVA,,IND,W (+19),1,36:10,13,22,.591,0,0,,2,3,.667,2,7,9,1,2,5,0,2,28,26.3
18,2024-07-04,27-331,LVA,,WAS,W (+21),1,26:13,9,12,.750,0,1,.000,0,0,,0,9,9,4,3,3,2,3,18,20.6
19,2024-07-05,27-332,LVA,@,LAS,L (-5),1,41:28,13,23,.565,0,3,.000,9,9,1.000,0,12,12,3,0,6,2,5,35,30.0
20,2024-07-07,27-334,LVA,,DAL,W (+19),1,31:12,11,22,.500,3,4,.750,3,4,.750,3,7,10,2,1,2,2,0,28,22.6
21,2024-07-10,27-337,LVA,@,SEA,W (+5),1,35:08,7,18,.389,0,2,.000,10,10,1.000,2,18,20,2,3,4,0,0,24,28.2
22,2024-07-12,27-339,LVA,@,ATL,W (+14),1,37:20,13,23,.565,3,4,.750,4,4,1.000,2,16,18,1,3,5,0,2,33,34.7
23,2024-07-14,27-341,LVA,@,WAS,W (+12),1,36:03,12,19,.632,0,1,.000,4,4,1.000,4,13,17,1,0,2,2,1,28,25.9
24,2024-07-16,27-343,LVA,,CHI,L (-8),1,36:34,9,21,.429,1,2,.500,9,10,.900,3,11,14,0,3,5,2,0,28,26.4
25,2024-08-17,28-009,LVA,,NYL,L (-12),1,35:40,8,15,.533,1,1,1.000,7,8,.875,0,11,11,0,3,3,0,0,24,24.7
26,2024-08-18,28-010,LVA,,LAS,W (+16),1,33:59,12,20,.600,0,0,,10,11,.909,1,12,13,0,5,2,1,1,34,33.7
27,2024-08-21,28-013,LVA,,MIN,L (-11),1,33:07,7,14,.500,0,1,.000,1,2,.500,5,4,9,6,2,0,0,0,15,18.5
28,2024-08-23,28-015,LVA,@,MIN,L (-13),1,32:56,8,17,.471,0,2,.000,8,9,.889,0,7,7,3,0,0,3,4,24,14.5
29,2024-08-25,28-017,LVA,@,CHI,W (+2),1,32:46,8,28,.286,0,1,.000,4,5,.800,6,12,18,2,2,3,0,2,20,15.7
30,2024-08-27,28-019,LVA,@,DAL,L (-3),1,36:45,16,22,.727,0,2,.000,10,13,.769,2,4,6,2,1,3,1,2,42,37.1
31,2024-08-30,28-022,LVA,,ATL,W (+11),1,37:21,9,17,.529,0,1,.000,8,10,.800,2,14,16,5,0,5,0,1,26,29.1
32,2024-09-01,28-024,LVA,@,PHO,W (+18),1,34:01,16,23,.696,2,6,.333,7,9,.778,4,13,17,2,2,1,0,3,41,40.1
33,2024-09-03,28-026,LVA,,CHI,W (+19),1,34:36,10,19,.526,1,4,.250,9,10,.900,2,12,14,3,2,3,2,0,30,29.5
34,2024-09-06,28-029,LVA,@,CON,W (+5),1,36:56,8,15,.533,0,0,,4,6,.667,0,8,8,0,2,2,2,2,20,14.9
35,2024-09-11,28-034,LVA,@,IND,W (+11),1,33:59,11,28,.393,0,0,,5,7,.714,3,9,12,2,2,3,0,0,27,21.3
36,2024-09-13,28-036,LVA,@,IND,W (+4),1,35:38,6,15,.400,0,1,.000,3,4,.750,0,17,17,1,1,2,1,1,15,13.3
37,2024-09-15,28-038,LVA,,CON,W (+13),1,35:24,13,25,.520,0,3,.000,3,5,.600,1,8,9,3,0,2,0,2,29,21.7
38,2024-09-17,28-040,LVA,@,SEA,W (+13),1,34:53,9,18,.500,0,0,,3,4,.750,0,7,7,2,1,0,1,1,21,14.7
