Imports,Exports,Balance
"20,527","23,866","3,340"
"21,294","23,039","1,745"
"22,839","22,978",139
"23,912","24,096",184
"25,669","24,142","-1,527"
"26,413","25,176","-1,237"
"26,982","26,006",-976
"28,197","25,726","-2,471"
"28,342","25,503","-2,840"
"26,706","25,454","-1,252"
"25,814","24,366","-1,448"
"24,243","22,058","-2,185"
"24,785","22,570","-2,215"
"26,211","22,205","-4,005"
"27,645","22,157","-5,488"
"29,260","22,172","-7,088"
"28,277","21,629","-6,648"
"30,037","21,064","-8,973"
"30,719","22,344","-8,375"
"32,052","22,778","-9,274"
"34,262","24,857","-9,405"
"36,479","25,546","-10,934"
"37,782","25,270","-12,511"
"41,286","27,838","-13,448"
"42,090","27,941","-14,149"
"42,761","29,499","-13,262"
"43,539","29,683","-13,856"
"45,875","30,851","-15,024"
"47,816","33,670","-14,146"
"48,067","34,904","-13,163"
"49,328","36,110","-13,218"
"47,571","38,778","-8,794"
"46,720","40,233","-6,487"
"48,351","42,279","-6,072"
"49,644","45,669","-3,975"
"54,521","48,013","-6,508"
"56,639","52,201","-4,438"
"60,925","54,998","-5,927"
"63,180","58,198","-4,982"
"53,972","51,029","-2,943"
"45,946","45,183",-763
"45,889","43,930","-1,959"
"48,786","46,411","-2,375"
"51,308","50,260","-1,048"
"53,476","54,020",544
"54,374","57,114","2,740"
"54,832","57,821","2,989"
"56,812","60,180","3,368"
"62,638","65,198","2,560"
"66,982","68,356","1,374"
"65,747","70,762","5,015"
"67,098","69,683","2,585"
"68,056","72,156","4,101"
"64,454","73,614","9,160"
"63,045","74,058","11,013"
"63,405","77,407","14,002"
"61,424","78,249","16,825"
"60,124","75,486","15,362"
"61,152","79,089","17,937"
"58,137","78,174","20,037"
"60,242","80,692","20,450"
"59,629","81,265","21,635"
"58,232","78,531","20,299"
"56,831","77,500","20,669"
"52,926","75,270","22,344"
"50,758","73,518","22,760"
"49,242","69,121","19,879"
"47,689","65,681","17,992"
"45,379","63,336","17,956"
"46,900","64,264","17,364"
"49,059","64,693","15,635"
"49,478","64,498","15,020"
"50,594","69,357","18,763"
"50,284","68,954","18,670"
"49,523","70,271","20,748"
"49,325","72,570","23,245"
"53,042","72,962","19,920"
"51,713","73,509","21,795"
"52,546","74,083","21,537"
"52,732","74,452","21,720"
"52,848","74,621","21,773"
"51,763","74,450","22,688"
"49,600","72,320","22,720"
"49,422","73,726","24,304"
"47,326","71,867","24,541"
"33,334","50,090","16,756"
"39,177","54,963","15,786"
"43,273","63,326","20,054"
"44,719","68,833","24,113"
"51,483","73,295","21,812"
"56,548","79,235","22,688"
"60,489","82,945","22,456"
"61,603","86,640","25,037"
"66,244","97,390","31,145"
"67,235","94,446","27,210"
"65,650","86,838","21,189"
"65,373","87,644","22,271"
"64,478","83,732","19,254"
"65,209","86,715","21,507"
"66,836","86,706","19,870"
"70,988","90,818","19,829"
"71,310","88,686","17,376"
