Year,Temperature
1880.0,-0.17
1881.0,-0.09
1882.0,-0.11
1883.0,-0.18
1884.0,-0.29
1885.0,-0.34
1886.0,-0.32
1887.0,-0.37
1888.0,-0.18
1889.0,-0.11
1890.0,-0.35
1891.0,-0.23
1892.0,-0.28
1893.0,-0.31
1894.0,-0.30
1895.0,-0.23
1896.0,-0.11
1897.0,-0.11
1898.0,-0.27
1899.0,-0.17
1900.0,-0.08
1901.0,-0.15
1902.0,-0.28
1903.0,-0.37
1904.0,-0.47
1905.0,-0.26
1906.0,-0.22
1907.0,-0.39
1908.0,-0.42
1909.0,-0.48
1910.0,-0.43
1911.0,-0.44
1912.0,-0.37
1913.0,-0.35
1914.0,-0.15
1915.0,-0.14
1916.0,-0.36
1917.0,-0.46
1918.0,-0.30
1919.0,-0.28
1920.0,-0.27
1921.0,-0.19
1922.0,-0.28
1923.0,-0.26
1924.0,-0.27
1925.0,-0.22
1926.0,-0.11
1927.0,-0.22
1928.0,-0.20
1929.0,-0.36
1930.0,-0.15
1931.0,-0.09
1932.0,-0.15
1933.0,-0.28
1934.0,-0.12
1935.0,-0.19
1936.0,-0.14
1937.0,-0.02
1938.0,0.00
1939.0,-0.02
1940.0,0.13
1941.0,0.19
1942.0,0.07
1943.0,0.09
1944.0,0.20
1945.0,0.09
1946.0,-0.07
1947.0,-0.03
1948.0,-0.11
1949.0,-0.11
1950.0,-0.17
1951.0,-0.07
1952.0,0.01
1953.0,0.08
1954.0,-0.13
1955.0,-0.14
1956.0,-0.19
1957.0,0.05
1958.0,0.06
1959.0,0.03
1960.0,-0.03
1961.0,0.06
1962.0,0.03
1963.0,0.05
1964.0,-0.20
1965.0,-0.11
1966.0,-0.06
1967.0,-0.02
1968.0,-0.08
1969.0,0.05
1970.0,0.03
1971.0,-0.08
1972.0,0.01
1973.0,0.16
1974.0,-0.07
1975.0,-0.01
1976.0,-0.10
1977.0,0.18
1978.0,0.07
1979.0,0.16
1980.0,0.26
1981.0,0.32
1982.0,0.14
1983.0,0.31
1984.0,0.16
1985.0,0.12
1986.0,0.18
1987.0,0.32
1988.0,0.39
1989.0,0.27
1990.0,0.45
1991.0,0.41
1992.0,0.22
1993.0,0.23
1994.0,0.31
1995.0,0.45
1996.0,0.33
1997.0,0.46
1998.0,0.61
1999.0,0.38
2000.0,0.39
2001.0,0.54
2002.0,0.63
2003.0,0.62
2004.0,0.53
2005.0,0.68
2006.0,0.64
2007.0,0.66
2008.0,0.54
2009.0,0.66
2010.0,0.72
2011.0,0.61
2012.0,0.65
2013.0,0.67
2014.0,0.75
2015.0,0.90
2016.0,1.01
2017.0,0.92
2018.0,0.85
2019.0,0.98
2020.0,1.01
2021.0,0.85
2022.0,0.89
2023.0,1.17
